compute CDER for magicdata-ramc
currently, compute dev set in 0.2 threshold mode
CTS-CN-F2F-2019-11-11-423 CDER = 0.052
CTS-CN-F2F-2019-11-11-431 CDER = 0.125
CTS-CN-F2F-2019-11-11-716 CDER = 0.058
CTS-CN-F2F-2019-11-15-3 CDER = 0.045
CTS-CN-F2F-2019-11-15-8 CDER = 0.066
CTS-CN-F2F-2019-11-15-9 CDER = 0.259
CTS-CN-F2F-2019-11-15-17 CDER = 0.252
CTS-CN-F2F-2019-11-15-26 CDER = 0.071
CTS-CN-F2F-2019-11-15-27 CDER = 0.118
CTS-CN-F2F-2019-11-15-37 CDER = 0.089
CTS-CN-F2F-2019-11-15-39 CDER = 0.044
CTS-CN-F2F-2019-11-15-45 CDER = 0.133
CTS-CN-F2F-2019-11-15-52 CDER = 0.077
CTS-CN-F2F-2019-11-15-53 CDER = 0.046
CTS-CN-F2F-2019-11-15-56 CDER = 0.087
CTS-CN-F2F-2019-11-15-65 CDER = 0.135
CTS-CN-F2F-2019-11-15-68 CDER = 0.105
CTS-CN-F2F-2019-11-15-73 CDER = 0.000
CTS-CN-F2F-2019-11-15-75 CDER = 0.028
CTS-CN-F2F-2019-11-15-77 CDER = 0.105
CTS-CN-F2F-2019-11-15-81 CDER = 0.165
CTS-CN-F2F-2019-11-15-82 CDER = 0.000
CTS-CN-F2F-2019-11-15-88 CDER = 0.051
CTS-CN-F2F-2019-11-15-91 CDER = 0.182
CTS-CN-F2F-2019-11-15-94 CDER = 0.188
CTS-CN-F2F-2019-11-15-100 CDER = 0.023
CTS-CN-F2F-2019-11-15-101 CDER = 0.156
CTS-CN-F2F-2019-11-15-105 CDER = 0.400
CTS-CN-F2F-2019-11-15-121 CDER = 0.023
CTS-CN-F2F-2019-11-15-123 CDER = 1.004
CTS-CN-F2F-2019-11-15-126 CDER = 0.030
CTS-CN-F2F-2019-11-15-128 CDER = 0.124
CTS-CN-F2F-2019-11-15-135 CDER = 0.121
CTS-CN-F2F-2019-11-15-138 CDER = 0.124
CTS-CN-F2F-2019-11-15-142 CDER = 0.185
CTS-CN-F2F-2019-11-15-144 CDER = 0.486
CTS-CN-F2F-2019-11-15-150 CDER = 0.081
CTS-CN-F2F-2019-11-15-151 CDER = 0.104
CTS-CN-F2F-2019-11-15-153 CDER = 0.177
Avg CDER : 0.147
currently, compute test set in 0.6 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.234
CTS-CN-F2F-2019-11-11-193 CDER = 0.062
CTS-CN-F2F-2019-11-11-198 CDER = 0.145
CTS-CN-F2F-2019-11-11-390 CDER = 0.173
CTS-CN-F2F-2019-11-11-423 CDER = 0.052
CTS-CN-F2F-2019-11-11-431 CDER = 0.125
CTS-CN-F2F-2019-11-11-716 CDER = 0.038
CTS-CN-F2F-2019-11-15-3 CDER = 0.045
CTS-CN-F2F-2019-11-15-8 CDER = 0.066
CTS-CN-F2F-2019-11-15-9 CDER = 0.197
CTS-CN-F2F-2019-11-15-17 CDER = 0.233
CTS-CN-F2F-2019-11-15-26 CDER = 0.062
CTS-CN-F2F-2019-11-15-27 CDER = 0.108
CTS-CN-F2F-2019-11-15-37 CDER = 0.089
CTS-CN-F2F-2019-11-15-39 CDER = 0.040
CTS-CN-F2F-2019-11-15-45 CDER = 0.124
CTS-CN-F2F-2019-11-15-52 CDER = 0.052
CTS-CN-F2F-2019-11-15-53 CDER = 0.048
CTS-CN-F2F-2019-11-15-56 CDER = 0.079
CTS-CN-F2F-2019-11-15-65 CDER = 0.133
CTS-CN-F2F-2019-11-15-68 CDER = 0.101
CTS-CN-F2F-2019-11-15-73 CDER = 0.000
CTS-CN-F2F-2019-11-15-75 CDER = 0.028
CTS-CN-F2F-2019-11-15-77 CDER = 0.105
CTS-CN-F2F-2019-11-15-81 CDER = 0.147
CTS-CN-F2F-2019-11-15-82 CDER = 0.000
CTS-CN-F2F-2019-11-15-88 CDER = 0.045
CTS-CN-F2F-2019-11-15-91 CDER = 0.170
CTS-CN-F2F-2019-11-15-94 CDER = 0.153
CTS-CN-F2F-2019-11-15-100 CDER = 0.023
CTS-CN-F2F-2019-11-15-101 CDER = 0.138
CTS-CN-F2F-2019-11-15-105 CDER = 0.400
CTS-CN-F2F-2019-11-15-121 CDER = 0.011
CTS-CN-F2F-2019-11-15-123 CDER = 1.004
CTS-CN-F2F-2019-11-15-126 CDER = 0.030
CTS-CN-F2F-2019-11-15-128 CDER = 0.108
CTS-CN-F2F-2019-11-15-135 CDER = 0.124
CTS-CN-F2F-2019-11-15-138 CDER = 0.121
CTS-CN-F2F-2019-11-15-142 CDER = 0.189
CTS-CN-F2F-2019-11-15-144 CDER = 0.452
CTS-CN-F2F-2019-11-15-150 CDER = 0.071
CTS-CN-F2F-2019-11-15-151 CDER = 0.085
CTS-CN-F2F-2019-11-15-153 CDER = 0.146
Avg CDER : 0.134
currently, compute test set in 0.7 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.189
CTS-CN-F2F-2019-11-11-193 CDER = 0.062
CTS-CN-F2F-2019-11-11-198 CDER = 0.145
CTS-CN-F2F-2019-11-11-390 CDER = 0.149
CTS-CN-F2F-2019-11-11-423 CDER = 0.044
CTS-CN-F2F-2019-11-11-431 CDER = 0.083
CTS-CN-F2F-2019-11-11-716 CDER = 0.038
CTS-CN-F2F-2019-11-15-3 CDER = 0.049
CTS-CN-F2F-2019-11-15-8 CDER = 0.016
CTS-CN-F2F-2019-11-15-9 CDER = 0.190
CTS-CN-F2F-2019-11-15-17 CDER = 0.197
CTS-CN-F2F-2019-11-15-26 CDER = 0.071
CTS-CN-F2F-2019-11-15-27 CDER = 0.069
CTS-CN-F2F-2019-11-15-37 CDER = 0.089
CTS-CN-F2F-2019-11-15-39 CDER = 0.029
CTS-CN-F2F-2019-11-15-45 CDER = 0.121
CTS-CN-F2F-2019-11-15-52 CDER = 0.052
CTS-CN-F2F-2019-11-15-53 CDER = 0.048
CTS-CN-F2F-2019-11-15-56 CDER = 0.079
CTS-CN-F2F-2019-11-15-65 CDER = 0.127
CTS-CN-F2F-2019-11-15-68 CDER = 0.101
CTS-CN-F2F-2019-11-15-73 CDER = 0.000
CTS-CN-F2F-2019-11-15-75 CDER = 0.009
CTS-CN-F2F-2019-11-15-77 CDER = 0.000
CTS-CN-F2F-2019-11-15-81 CDER = 0.131
CTS-CN-F2F-2019-11-15-82 CDER = 0.000
CTS-CN-F2F-2019-11-15-88 CDER = 0.051
CTS-CN-F2F-2019-11-15-91 CDER = 0.161
CTS-CN-F2F-2019-11-15-94 CDER = 0.138
CTS-CN-F2F-2019-11-15-100 CDER = 0.015
CTS-CN-F2F-2019-11-15-101 CDER = 0.113
CTS-CN-F2F-2019-11-15-105 CDER = 0.000
CTS-CN-F2F-2019-11-15-121 CDER = 0.011
Warning: CTS-CN-F2F-2019-11-15-123 is missed!
CTS-CN-F2F-2019-11-15-126 CDER = 0.025
CTS-CN-F2F-2019-11-15-128 CDER = 0.086
CTS-CN-F2F-2019-11-15-135 CDER = 0.127
CTS-CN-F2F-2019-11-15-138 CDER = 0.107
CTS-CN-F2F-2019-11-15-142 CDER = 0.180
CTS-CN-F2F-2019-11-15-144 CDER = 0.405
CTS-CN-F2F-2019-11-15-150 CDER = 0.071
CTS-CN-F2F-2019-11-15-151 CDER = 0.074
CTS-CN-F2F-2019-11-15-153 CDER = 0.077
Avg CDER : Error!
currently, compute test set in 0.8 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.141
CTS-CN-F2F-2019-11-11-193 CDER = 0.077
CTS-CN-F2F-2019-11-11-198 CDER = 0.092
CTS-CN-F2F-2019-11-11-390 CDER = 0.134
CTS-CN-F2F-2019-11-11-423 CDER = 0.044
CTS-CN-F2F-2019-11-11-431 CDER = 0.146
CTS-CN-F2F-2019-11-11-716 CDER = 0.058
CTS-CN-F2F-2019-11-15-3 CDER = 0.059
CTS-CN-F2F-2019-11-15-8 CDER = 0.016
CTS-CN-F2F-2019-11-15-9 CDER = 0.204
CTS-CN-F2F-2019-11-15-17 CDER = 0.161
CTS-CN-F2F-2019-11-15-26 CDER = 0.071
CTS-CN-F2F-2019-11-15-27 CDER = 0.066
CTS-CN-F2F-2019-11-15-37 CDER = 0.044
CTS-CN-F2F-2019-11-15-39 CDER = 0.022
CTS-CN-F2F-2019-11-15-45 CDER = 0.117
CTS-CN-F2F-2019-11-15-52 CDER = 0.031
CTS-CN-F2F-2019-11-15-53 CDER = 0.054
CTS-CN-F2F-2019-11-15-56 CDER = 0.071
CTS-CN-F2F-2019-11-15-65 CDER = 0.113
CTS-CN-F2F-2019-11-15-68 CDER = 0.080
CTS-CN-F2F-2019-11-15-73 CDER = 0.000
CTS-CN-F2F-2019-11-15-75 CDER = 0.019
CTS-CN-F2F-2019-11-15-77 CDER = 0.000
CTS-CN-F2F-2019-11-15-81 CDER = 0.112
CTS-CN-F2F-2019-11-15-82 CDER = 0.000
CTS-CN-F2F-2019-11-15-88 CDER = 0.051
CTS-CN-F2F-2019-11-15-91 CDER = 0.161
CTS-CN-F2F-2019-11-15-94 CDER = 0.134
CTS-CN-F2F-2019-11-15-100 CDER = 0.015
CTS-CN-F2F-2019-11-15-101 CDER = 0.092
CTS-CN-F2F-2019-11-15-105 CDER = 0.000
CTS-CN-F2F-2019-11-15-121 CDER = 0.011
Warning: CTS-CN-F2F-2019-11-15-123 is missed!
CTS-CN-F2F-2019-11-15-126 CDER = 0.025
CTS-CN-F2F-2019-11-15-128 CDER = 0.092
CTS-CN-F2F-2019-11-15-135 CDER = 0.119
CTS-CN-F2F-2019-11-15-138 CDER = 0.101
CTS-CN-F2F-2019-11-15-142 CDER = 0.177
CTS-CN-F2F-2019-11-15-144 CDER = 0.342
CTS-CN-F2F-2019-11-15-150 CDER = 0.071
CTS-CN-F2F-2019-11-15-151 CDER = 0.066
CTS-CN-F2F-2019-11-15-153 CDER = 0.062
Avg CDER : Error!
