compute CDER for magicdata-ramc
currently, compute dev set in 0.2 threshold mode
CTS-CN-F2F-2019-11-15-1434 CDER = 0.170
CTS-CN-F2F-2019-11-15-1447 CDER = 0.132
CTS-CN-F2F-2019-11-15-1448 CDER = 0.147
CTS-CN-F2F-2019-11-15-1449 CDER = 0.182
CTS-CN-F2F-2019-11-15-1452 CDER = 0.053
CTS-CN-F2F-2019-11-15-1458 CDER = 0.197
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 1.676
CTS-CN-F2F-2019-11-15-1468 CDER = 0.045
CTS-CN-F2F-2019-11-15-1469 CDER = 0.069
CTS-CN-F2F-2019-11-15-1470 CDER = 0.375
CTS-CN-F2F-2019-11-15-1473 CDER = 0.202
CTS-CN-F2F-2019-11-15-1475 CDER = 0.188
CTS-CN-F2F-2019-11-15-1477 CDER = 0.054
Avg CDER : 0.415
currently, compute dev set in 0.55 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 1.165
CTS-CN-F2F-2019-11-15-1422 CDER = 1.362
CTS-CN-F2F-2019-11-15-1423 CDER = 0.091
CTS-CN-F2F-2019-11-15-1426 CDER = 0.327
CTS-CN-F2F-2019-11-15-1428 CDER = 0.043
CTS-CN-F2F-2019-11-15-1434 CDER = 0.127
CTS-CN-F2F-2019-11-15-1447 CDER = 0.106
CTS-CN-F2F-2019-11-15-1448 CDER = 0.123
CTS-CN-F2F-2019-11-15-1449 CDER = 0.164
CTS-CN-F2F-2019-11-15-1452 CDER = 0.050
CTS-CN-F2F-2019-11-15-1458 CDER = 0.133
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 1.081
CTS-CN-F2F-2019-11-15-1468 CDER = 0.033
CTS-CN-F2F-2019-11-15-1469 CDER = 0.074
CTS-CN-F2F-2019-11-15-1470 CDER = 0.307
CTS-CN-F2F-2019-11-15-1473 CDER = 0.154
CTS-CN-F2F-2019-11-15-1475 CDER = 0.178
CTS-CN-F2F-2019-11-15-1477 CDER = 0.041
Avg CDER : 0.293
currently, compute dev set in 0.6 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 0.940
CTS-CN-F2F-2019-11-15-1422 CDER = 0.915
CTS-CN-F2F-2019-11-15-1423 CDER = 0.062
CTS-CN-F2F-2019-11-15-1426 CDER = 0.327
CTS-CN-F2F-2019-11-15-1428 CDER = 0.048
CTS-CN-F2F-2019-11-15-1434 CDER = 0.124
CTS-CN-F2F-2019-11-15-1447 CDER = 0.106
CTS-CN-F2F-2019-11-15-1448 CDER = 0.123
CTS-CN-F2F-2019-11-15-1449 CDER = 0.147
CTS-CN-F2F-2019-11-15-1452 CDER = 0.053
CTS-CN-F2F-2019-11-15-1458 CDER = 0.133
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 0.838
CTS-CN-F2F-2019-11-15-1468 CDER = 0.029
CTS-CN-F2F-2019-11-15-1469 CDER = 0.069
CTS-CN-F2F-2019-11-15-1470 CDER = 0.261
CTS-CN-F2F-2019-11-15-1473 CDER = 0.135
CTS-CN-F2F-2019-11-15-1475 CDER = 0.188
CTS-CN-F2F-2019-11-15-1477 CDER = 0.041
Avg CDER : 0.239
currently, compute dev set in 0.7 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 0.714
CTS-CN-F2F-2019-11-15-1422 CDER = 0.340
CTS-CN-F2F-2019-11-15-1423 CDER = 0.047
CTS-CN-F2F-2019-11-15-1426 CDER = 0.263
CTS-CN-F2F-2019-11-15-1428 CDER = 0.052
CTS-CN-F2F-2019-11-15-1434 CDER = 0.117
CTS-CN-F2F-2019-11-15-1447 CDER = 0.113
CTS-CN-F2F-2019-11-15-1448 CDER = 0.110
CTS-CN-F2F-2019-11-15-1449 CDER = 0.122
CTS-CN-F2F-2019-11-15-1452 CDER = 0.070
CTS-CN-F2F-2019-11-15-1458 CDER = 0.129
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 0.405
CTS-CN-F2F-2019-11-15-1468 CDER = 0.033
CTS-CN-F2F-2019-11-15-1469 CDER = 0.083
CTS-CN-F2F-2019-11-15-1470 CDER = 0.207
CTS-CN-F2F-2019-11-15-1473 CDER = 0.091
CTS-CN-F2F-2019-11-15-1475 CDER = 0.168
CTS-CN-F2F-2019-11-15-1477 CDER = 0.044
Avg CDER : 0.164
currently, compute dev set in 0.8 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 0.398
CTS-CN-F2F-2019-11-15-1422 CDER = 0.404
CTS-CN-F2F-2019-11-15-1423 CDER = 0.057
CTS-CN-F2F-2019-11-15-1426 CDER = 0.198
CTS-CN-F2F-2019-11-15-1428 CDER = 0.070
CTS-CN-F2F-2019-11-15-1434 CDER = 0.106
CTS-CN-F2F-2019-11-15-1447 CDER = 0.106
CTS-CN-F2F-2019-11-15-1448 CDER = 0.094
CTS-CN-F2F-2019-11-15-1449 CDER = 0.115
CTS-CN-F2F-2019-11-15-1452 CDER = 0.056
CTS-CN-F2F-2019-11-15-1458 CDER = 0.117
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 0.135
CTS-CN-F2F-2019-11-15-1468 CDER = 0.029
CTS-CN-F2F-2019-11-15-1469 CDER = 0.083
CTS-CN-F2F-2019-11-15-1470 CDER = 0.171
CTS-CN-F2F-2019-11-15-1473 CDER = 0.072
CTS-CN-F2F-2019-11-15-1475 CDER = 0.193
CTS-CN-F2F-2019-11-15-1477 CDER = 0.034
Avg CDER : 0.128
currently, compute test set in 0.2 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 1.214
CTS-CN-F2F-2019-11-11-193 CDER = 0.338
CTS-CN-F2F-2019-11-11-198 CDER = 0.553
CTS-CN-F2F-2019-11-11-390 CDER = 0.876
CTS-CN-F2F-2019-11-11-423 CDER = 0.193
CTS-CN-F2F-2019-11-11-431 CDER = 2.167
CTS-CN-F2F-2019-11-11-716 CDER = 0.192
CTS-CN-F2F-2019-11-15-3 CDER = 0.215
CTS-CN-F2F-2019-11-15-8 CDER = 0.213
CTS-CN-F2F-2019-11-15-9 CDER = 1.170
CTS-CN-F2F-2019-11-15-17 CDER = 0.376
CTS-CN-F2F-2019-11-15-26 CDER = 0.222
CTS-CN-F2F-2019-11-15-27 CDER = 0.249
CTS-CN-F2F-2019-11-15-37 CDER = 0.200
CTS-CN-F2F-2019-11-15-39 CDER = 0.136
CTS-CN-F2F-2019-11-15-45 CDER = 0.323
CTS-CN-F2F-2019-11-15-52 CDER = 0.273
CTS-CN-F2F-2019-11-15-53 CDER = 0.092
CTS-CN-F2F-2019-11-15-56 CDER = 0.212
CTS-CN-F2F-2019-11-15-65 CDER = 0.358
CTS-CN-F2F-2019-11-15-68 CDER = 0.211
CTS-CN-F2F-2019-11-15-73 CDER = 0.143
CTS-CN-F2F-2019-11-15-75 CDER = 0.340
CTS-CN-F2F-2019-11-15-77 CDER = 1.632
CTS-CN-F2F-2019-11-15-81 CDER = 0.380
CTS-CN-F2F-2019-11-15-82 CDER = 0.161
CTS-CN-F2F-2019-11-15-88 CDER = 0.256
CTS-CN-F2F-2019-11-15-91 CDER = 0.331
CTS-CN-F2F-2019-11-15-94 CDER = 0.594
CTS-CN-F2F-2019-11-15-100 CDER = 0.174
CTS-CN-F2F-2019-11-15-101 CDER = 0.394
CTS-CN-F2F-2019-11-15-105 CDER = 1.200
CTS-CN-F2F-2019-11-15-121 CDER = 0.295
CTS-CN-F2F-2019-11-15-123 CDER = 0.850
CTS-CN-F2F-2019-11-15-126 CDER = 0.117
CTS-CN-F2F-2019-11-15-128 CDER = 0.299
CTS-CN-F2F-2019-11-15-135 CDER = 0.367
CTS-CN-F2F-2019-11-15-138 CDER = 0.389
CTS-CN-F2F-2019-11-15-142 CDER = 0.294
CTS-CN-F2F-2019-11-15-144 CDER = 1.156
CTS-CN-F2F-2019-11-15-150 CDER = 0.212
CTS-CN-F2F-2019-11-15-151 CDER = 0.287
