compute CDER for magicdata-ramc
currently, compute dev set in 0.2 threshold mode
CTS-CN-F2F-2019-11-15-37 CDER = 0.156
CTS-CN-F2F-2019-11-15-39 CDER = 0.096
CTS-CN-F2F-2019-11-15-45 CDER = 0.271
CTS-CN-F2F-2019-11-15-52 CDER = 0.224
CTS-CN-F2F-2019-11-15-53 CDER = 0.088
CTS-CN-F2F-2019-11-15-56 CDER = 0.175
CTS-CN-F2F-2019-11-15-65 CDER = 0.278
CTS-CN-F2F-2019-11-15-68 CDER = 0.173
CTS-CN-F2F-2019-11-15-73 CDER = 0.065
CTS-CN-F2F-2019-11-15-75 CDER = 0.189
CTS-CN-F2F-2019-11-15-77 CDER = 0.421
CTS-CN-F2F-2019-11-15-81 CDER = 0.301
CTS-CN-F2F-2019-11-15-82 CDER = 0.089
CTS-CN-F2F-2019-11-15-88 CDER = 0.142
CTS-CN-F2F-2019-11-15-91 CDER = 0.282
CTS-CN-F2F-2019-11-15-94 CDER = 0.487
CTS-CN-F2F-2019-11-15-100 CDER = 0.076
CTS-CN-F2F-2019-11-15-101 CDER = 0.321
CTS-CN-F2F-2019-11-15-105 CDER = 0.600
CTS-CN-F2F-2019-11-15-121 CDER = 0.227
CTS-CN-F2F-2019-11-15-123 CDER = 1.157
CTS-CN-F2F-2019-11-15-126 CDER = 0.081
CTS-CN-F2F-2019-11-15-128 CDER = 0.290
CTS-CN-F2F-2019-11-15-135 CDER = 0.253
CTS-CN-F2F-2019-11-15-138 CDER = 0.318
CTS-CN-F2F-2019-11-15-142 CDER = 0.267
CTS-CN-F2F-2019-11-15-144 CDER = 0.957
CTS-CN-F2F-2019-11-15-150 CDER = 0.202
CTS-CN-F2F-2019-11-15-151 CDER = 0.239
CTS-CN-F2F-2019-11-15-153 CDER = 0.354
Avg CDER : 0.337
currently, compute test set in 0.35 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.865
CTS-CN-F2F-2019-11-11-193 CDER = 0.246
CTS-CN-F2F-2019-11-11-198 CDER = 0.474
CTS-CN-F2F-2019-11-11-390 CDER = 0.584
CTS-CN-F2F-2019-11-11-423 CDER = 0.067
CTS-CN-F2F-2019-11-11-431 CDER = 1.042
CTS-CN-F2F-2019-11-11-716 CDER = 0.096
CTS-CN-F2F-2019-11-15-3 CDER = 0.108
CTS-CN-F2F-2019-11-15-8 CDER = 0.131
CTS-CN-F2F-2019-11-15-9 CDER = 0.653
CTS-CN-F2F-2019-11-15-17 CDER = 0.326
CTS-CN-F2F-2019-11-15-26 CDER = 0.138
CTS-CN-F2F-2019-11-15-27 CDER = 0.164
CTS-CN-F2F-2019-11-15-37 CDER = 0.156
CTS-CN-F2F-2019-11-15-39 CDER = 0.092
CTS-CN-F2F-2019-11-15-45 CDER = 0.223
CTS-CN-F2F-2019-11-15-52 CDER = 0.189
CTS-CN-F2F-2019-11-15-53 CDER = 0.080
CTS-CN-F2F-2019-11-15-56 CDER = 0.152
CTS-CN-F2F-2019-11-15-65 CDER = 0.247
CTS-CN-F2F-2019-11-15-68 CDER = 0.143
CTS-CN-F2F-2019-11-15-73 CDER = 0.039
CTS-CN-F2F-2019-11-15-75 CDER = 0.151
CTS-CN-F2F-2019-11-15-77 CDER = 0.105
CTS-CN-F2F-2019-11-15-81 CDER = 0.295
CTS-CN-F2F-2019-11-15-82 CDER = 0.071
CTS-CN-F2F-2019-11-15-88 CDER = 0.119
CTS-CN-F2F-2019-11-15-91 CDER = 0.246
CTS-CN-F2F-2019-11-15-94 CDER = 0.467
CTS-CN-F2F-2019-11-15-100 CDER = 0.076
CTS-CN-F2F-2019-11-15-101 CDER = 0.309
CTS-CN-F2F-2019-11-15-105 CDER = 0.600
CTS-CN-F2F-2019-11-15-121 CDER = 0.227
CTS-CN-F2F-2019-11-15-123 CDER = 1.457
CTS-CN-F2F-2019-11-15-126 CDER = 0.056
CTS-CN-F2F-2019-11-15-128 CDER = 0.277
CTS-CN-F2F-2019-11-15-135 CDER = 0.186
CTS-CN-F2F-2019-11-15-138 CDER = 0.273
CTS-CN-F2F-2019-11-15-142 CDER = 0.237
CTS-CN-F2F-2019-11-15-144 CDER = 0.844
CTS-CN-F2F-2019-11-15-150 CDER = 0.182
CTS-CN-F2F-2019-11-15-151 CDER = 0.213
CTS-CN-F2F-2019-11-15-153 CDER = 0.338
Avg CDER : 0.301
currently, compute test set in 0.4 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.777
CTS-CN-F2F-2019-11-11-193 CDER = 0.185
CTS-CN-F2F-2019-11-11-198 CDER = 0.395
CTS-CN-F2F-2019-11-11-390 CDER = 0.490
CTS-CN-F2F-2019-11-11-423 CDER = 0.044
CTS-CN-F2F-2019-11-11-431 CDER = 0.854
CTS-CN-F2F-2019-11-11-716 CDER = 0.096
CTS-CN-F2F-2019-11-15-3 CDER = 0.104
CTS-CN-F2F-2019-11-15-8 CDER = 0.049
CTS-CN-F2F-2019-11-15-9 CDER = 0.660
